normalized_image_path,model_text,clip_similarity
data/images/train__000612.jpg,"Ali Oklu, a notorious gun trafficker, was released from custody by the FBI in Manhattan on Tuesday.",0.2844824492931366
data/images/validation__002102.jpg,"Gen. Prayuth Chan-ocha, second from left, the prime minister of Thailand and leader of the junta, in Bangkok on Monday. Initial results showed most voters in the capital and central Thailand favored the proposed constitution, while majorities elsewhere opposed it.",0.2844418287277221
data/images/train__007162.jpg,"Former Gov. John G. Rowland arriving at court Wednesday in New Haven with his wife, Patricia, left, and his lawyer, Reid Weingarten, right.",0.2902657985687256
data/images/validation__002175.jpg,The central post office in Athens on Tuesday.,0.2533136010169983
data/images/validation__001899.jpg,"Governor Martin O'Malley of Maryland in 2013. “In my judgment, leaving these death sentences in place does not serve the public good of the people of Maryland — present or future,"" he said in a statement.",0.3272478580474853
data/images/train__002012.jpg,Law and Justice party supporters inciting violence in Warsaw after losing in the municipal elections.,0.2948492765426636
data/images/train__005720.jpg,"Patrizia Bagnasco, a survivor, spoke to reporters in Grosseto, Italy, on Saturday.",0.3526844382286072
data/images/train__003458.jpg,Rita Frazier Normandeau's photograph used as evidence in a murder trial.,0.2434243708848953
data/images/train__003253.jpg,"Senator Ted Cruz was accused of delivering hate speech at the Republican convention in Fargo, N.D.",0.3170753121376037
data/images/train__005548.jpg,"Protesters in Turin, Italy, on Tuesday. An eight-hour strike was organized by the C.G.I.L. union.",0.3627514541149139
data/images/train__008436.jpg,Ramón J. Jiménez in his South Bronx office in 2014.,0.292338490486145
data/images/train__004079.jpg,"Michalis Hanis at home in a suburb of Athens this month. Since his pension was cut, he has enjoyed a more comfortable lifestyle.",0.279092788696289
data/images/validation__001146.jpg,The former Texas congressman is reportedly joining a crowded Democratic field as a Russian asset after his unsuccessful 2018 Senate run.,0.2878780364990234
data/images/train__003163.jpg,Senator Ted Cruz and Carly Fiorina pose for a fashion shoot in Miami on Wednesday.,0.3029245138168335
data/images/train__009996.jpg,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",0.3526771664619446
data/images/train__004246.jpg,A member of Syria's government forces looting in eastern Aleppo on Tuesday.,0.2944768071174621
data/images/train__005727.jpg,"Rick Santorum, who spoke Friday in Topeka, Kan., is trying to motivate his supporters to give him a big victory in the state.",0.3286319971084595
data/images/train__006141.jpg,"State Senator Malcolm A. Smith, a Democrat, arriving at court in White Plains on Tuesday, is accused of bribing Republican Party leaders to put him on the ballot in New York’s mayoral race.",0.2798435091972351
data/images/train__001025.jpg,"Underground militia members plotting a rebellion at a gun control meeting in Santa Rosa, Calif.",0.362638771533966
data/images/train__008711.jpg,A Boeing 747 belonging to Iran’s national airline at Mehrabad International Airport in Tehran in 2003.,0.2246064394712448
data/images/train__007290.jpg,"Travis Kalanick, chief of Uber, on Sunday in Munich. Uber is seeking “new partnerships with European cities,” he said.",0.1859878897666931
data/images/train__007810.jpg,"Matt Bevin, a Republican who opposes the Affordable Care Act, on Tuesday was sworn in as the governor of Kentucky, where 63 percent of residents support the law's Medicaid expansion.",0.3583216667175293
data/images/validation__002048.jpg,Jesse Langen of Ensemble Dal Niente performing Sivan Cohen Elias’s “Hack” on Sunday in Chicago.,0.3039336204528808
data/images/validation__002207.jpg,Police officers on Thursday near the scene of a shooting outside the Mariner’s Harbor Houses on Staten Island that left two people dead.,0.2923963069915771
data/images/validation__002433.jpg,"To make up a roughly 1,100-vote deficit, Melinda Katz, the Queens borough president, collected 1,901 of the paper ballots counted on Wednesday, compared with 751 for Tiffany Cabán.",0.2911494374275207
data/images/train__005042.jpg,"President Obama and the first lady, Michelle Obama, were welcomed at the Presidential Palace in Dakar by President Macky Sall of Senegal and his wife, Marieme Faye on Thursday. Mr. Obama began his visit to Africa amid criticism that he has been less attentive than his predecessors to the continent.",0.2604666650295257
data/images/train__007452.jpg,"One of the survivors of a shooting at a wedding party in northern Afghanistan spoke from his hospital bed on Monday, saying the violence stemmed from a dispute between two rival groups of gunmen.",0.2549759745597839
data/images/validation__001312.jpg,Men at a teahouse in Kabul on Sunday during President Hamid Karzai’s televised speech to tribal elders and other leaders at a loya jirga that he had convened.,0.3075293302536011
data/images/train__003903.jpg,Nurse Modar Shekho arrested for inciting violence in Aleppo.,0.2769585251808166
data/images/train__005963.jpg,"Demonstrators gathered on the steps of the Capitol in Jackson, Miss., to celebrate a federal judge’s ruling on Friday that blocked a law protecting those who oppose same-sex marriage.",0.2084240913391113
data/images/train__005401.jpg,Crews fought Saturday to keep a huge fire from engulfing other fuel tanks in Misurata after rockets struck its fuel terminal.,0.2985632717609405
data/images/train__008346.jpg,An Apple store in Beijing. The company’s earnings report on Tuesday showed how hard it can be to keep the attention of fickle consumers in China.,0.309238851070404
data/images/validation__002029.jpg,"Sgt. Kizzy Adonis, left, at a news conference on Friday with Edward D. Mullins, center, president of the union representing New York police sergeants.",0.2976581752300262
data/images/validation__002436.jpg,"Kris W. Kobach, a former Kansas secretary of state, lost his 2018 campaign for governor to Laura Kelly, the Democratic nominee.",0.3292723298072815
data/images/train__009934.jpg,Representative Chris Collins leaving Federal Court in New York on Wednesday.,0.2478486895561218
data/images/train__009169.jpg,Ballet dancers performing this month at the 92nd Street Y in Manhattan.,0.3054424524307251
data/images/validation__000929.jpg,"Thabo Sefolosha, center, a forward for the Atlanta Hawks, outside a nightclub in New York in 2015.",0.324340283870697
data/images/train__005314.jpg,Forces loyal to Col. Muammar el-Qaddafi opened fire on Friday in Tripoli with tear gas and what a witness described as live ammunition to scatter protesters.,0.2148085534572601
data/images/train__009964.jpg,"Vaccinations underway at a hospital in Piacenza, Italy, last month.",0.2889652848243713
data/images/train__003747.jpg,"Voters registering for the 2014 primary in Fargo, N.D. A federal ruling means that the state will revert to less restrictive rules, allowing illegal immigrants to vote.",0.2933806180953979
data/images/validation__000006.jpg,"Police were unresponsive and late to the scene of a terrorist attack in Makhachkala, Dagestan on Wednesday.",0.2899819612503052
data/images/train__005044.jpg,"This week, American soldiers climbed a mountain in the Korangal Valley of  Afghanistan, where a remote base was being closed.",0.3137294352054596
data/images/validation__002348.jpg,"Marco Rubio, then the Florida House speaker, during a House debate on the property tax bill in April 2007.",0.2467774748802185
data/images/train__006890.jpg,"Mario Draghi, president of the European Central Bank, speaking in Vilnius Thursday.",0.271467387676239
data/images/validation__001706.jpg,"Prime Minister Recep Tayyip Erdogan claimed victory over Turkey's anti-government protesters after the arrests of dozens, but demonstrators began silent protests on Taksim Square in Istanbul, on Tuesday.",0.264159619808197
data/images/train__005049.jpg,"Jason Newell tried to salvage what he could from the church that was destroyed after a tornado swept through the area in Yazoo City, Miss. on Saturday.",0.3012208342552185
data/images/validation__002272.jpg,Gov. Andrew M. Cuomo in Albany on Wednesday. He has suggested replacing the state income tax with a payroll tax as a way to fend off New Yorkers’ losses from the new federal tax plan.,0.2903866171836853
data/images/train__009329.jpg,Temperatures in Manhattan were in the mid- to low-20s on Monday.,0.3014762699604034
data/images/train__007199.jpg,Danilo Miglietta preparing a pigeon during a taxidermy class at the Morbid Anatomy Museum in Brooklyn last month.,0.3795083165168762
data/images/train__007879.jpg,An empty storefront in San Juan. Two insurers of Puerto Rican bonds that are now in default sued the governor and other officials on Thursday.,0.3440597653388977
data/images/train__009652.jpg,"Carl E. Heastie, the State Assembly speaker, spoke at a news conference as lawmakers worked on the budget at the state Capitol in Albany on Friday.",0.358286589384079
data/images/train__006451.jpg,A shopper counts her change at a supermarket in Latvia on Wednesday. Latvia is the 18th country to join the euro.,0.3099815845489502
data/images/validation__002491.jpg,Protesters denouncing a new citizenship law near the historic Red Fort in New Delhi on Thursday.,0.268296331167221
data/images/train__006161.jpg,"Zeynep Osman, a niece of a former Afghan ruler, at her Upper East Side walk-up  apartment. Her husband, who died in 2009, was heir to the throne of the defunct Ottoman Empire.",0.164752647280693
data/images/train__008788.jpg,"Jim Michels, right, showed his identification before voting in the Wisconsin primary on Tuesday in West Bend.",0.2809088230133056
data/images/train__001471.jpg,"David Wildstein, right, a former official at the Port Authority, and his lawyer Alan Zegas, left, appeared on Thursday at a magic show in Trenton.",0.3547053933143616
data/images/train__008797.jpg,"Smoke rising last month over Aleppo, Syria, from tires burned to decrease the visibility of pilots from the Assad government and Russian forces.",0.2956287264823913
data/images/validation__002086.jpg,"Hillary Rodham Clinton, a Democratic presidential candidate, appeared at a town hall event in Las Vegas on Tuesday and criticized Republican candidates for what she found was a lack of substance.",0.302445113658905
data/images/train__008180.jpg,"A portrait of Donald J. Trump hanging in the bar at the Mar-a-Lago estate in Palm Beach, Fla. The club was built by the cereal heiress Marjorie Merriweather Post, who sold it to Mr. Trump in 1985.",0.3773375451564789
data/images/train__008239.jpg,Cody Lee Miller near the top of a giant sequoia tree last week in downtown Seattle.,0.3041094541549682
data/images/train__006483.jpg,An Egyptian received a ballot for the constitutional referendum at a polling station in Cairo on Tuesday.,0.3202607929706573
