sample_id,predicted_label,confidence,primary_evidence,reviewer_flag
g8_public_test__000000,real,0.983364,text,False
g8_public_test__000001,real,0.995496,image,False
g8_public_test__000002,fake,0.999133,image_text_relation,False
g8_public_test__000003,fake,0.997935,image_text_relation,False
g8_public_test__000004,real,0.995778,image,False
g8_public_test__000005,real,0.995117,image,False
g8_public_test__000006,fake,0.998365,image_text_relation,False
g8_public_test__000007,fake,0.999014,image_text_relation,True
g8_public_test__000008,fake,0.999279,image_text_relation,False
g8_public_test__000009,real,0.994299,image,True
g8_public_test__000010,real,0.995056,image_text_relation,False
g8_public_test__000011,real,0.994555,image,False
g8_public_test__000012,fake,0.998601,image_text_relation,False
g8_public_test__000013,real,0.99233,image,True
g8_public_test__000014,real,0.73618,text,False
g8_public_test__000015,real,0.995495,image,False
g8_public_test__000016,fake,0.994867,image_text_relation,False
g8_public_test__000017,fake,0.998778,image_text_relation,False
g8_public_test__000018,real,0.994998,image,False
g8_public_test__000019,real,0.99653,image,False
g8_public_test__000020,fake,0.991592,image,False
g8_public_test__000021,real,0.996347,image,False
g8_public_test__000022,fake,0.818705,image,False
g8_public_test__000023,real,0.995483,image,False
g8_public_test__000024,real,0.996254,image,False
g8_public_test__000025,real,0.995732,image,False
g8_public_test__000026,fake,0.998451,image_text_relation,False
g8_public_test__000027,real,0.995966,image,False
g8_public_test__000028,real,0.96445,image_text_relation,False
g8_public_test__000029,fake,0.999047,image_text_relation,False
g8_public_test__000030,real,0.996236,image,False
g8_public_test__000031,real,0.995365,image,False
g8_public_test__000032,real,0.995915,image,True
g8_public_test__000033,real,0.99217,image_text_relation,False
g8_public_test__000034,fake,0.991142,image,False
g8_public_test__000035,real,0.996592,image_text_relation,False
g8_public_test__000036,fake,0.998937,image_text_relation,False
g8_public_test__000037,fake,0.9992,image_text_relation,False
g8_public_test__000038,fake,0.999077,image_text_relation,False
g8_public_test__000039,real,0.99208,image_text_relation,False
g8_public_test__000040,real,0.995404,image,False
g8_public_test__000041,fake,0.950316,image,True
g8_public_test__000042,real,0.995236,image,False
g8_public_test__000043,fake,0.999111,image_text_relation,False
g8_public_test__000044,fake,0.589912,uncertain,True
g8_public_test__000045,fake,0.999414,image_text_relation,False
g8_public_test__000046,fake,0.99492,image_text_relation,False
g8_public_test__000047,fake,0.783718,text,False
g8_public_test__000048,fake,0.990362,image_text_relation,False
g8_public_test__000049,fake,0.998923,image_text_relation,False
