model_text,text_p_fake,text_p_real
"Ali Oklu, a notorious gun trafficker, was released from custody by the FBI in Manhattan on Tuesday.",0.5541190435063197,0.4458809564936802
"Gen. Prayuth Chan-ocha, second from left, the prime minister of Thailand and leader of the junta, in Bangkok on Monday. Initial results showed most voters in the capital and central Thailand favored the proposed constitution, while majorities elsewhere opposed it.",0.0586197872890595,0.9413802127109404
"Former Gov. John G. Rowland arriving at court Wednesday in New Haven with his wife, Patricia, left, and his lawyer, Reid Weingarten, right.",0.1297689389687419,0.870231061031258
The central post office in Athens on Tuesday.,0.0753578342770604,0.9246421657229396
"Governor Martin O'Malley of Maryland in 2013. “In my judgment, leaving these death sentences in place does not serve the public good of the people of Maryland — present or future,"" he said in a statement.",0.1599653907804603,0.8400346092195397
Law and Justice party supporters inciting violence in Warsaw after losing in the municipal elections.,0.9446551045941975,0.0553448954058023
"Patrizia Bagnasco, a survivor, spoke to reporters in Grosseto, Italy, on Saturday.",0.1835424116741542,0.8164575883258458
Rita Frazier Normandeau's photograph used as evidence in a murder trial.,0.6891317722212394,0.3108682277787605
"Senator Ted Cruz was accused of delivering hate speech at the Republican convention in Fargo, N.D.",0.9777175341575012,0.0222824658424989
"Protesters in Turin, Italy, on Tuesday. An eight-hour strike was organized by the C.G.I.L. union.",0.1871431179672349,0.8128568820327651
Ramón J. Jiménez in his South Bronx office in 2014.,0.2326915437069997,0.7673084562930003
"Michalis Hanis at home in a suburb of Athens this month. Since his pension was cut, he has enjoyed a more comfortable lifestyle.",0.2415437069017325,0.7584562930982675
The former Texas congressman is reportedly joining a crowded Democratic field as a Russian asset after his unsuccessful 2018 Senate run.,0.4519104078669749,0.5480895921330251
Senator Ted Cruz and Carly Fiorina pose for a fashion shoot in Miami on Wednesday.,0.4228380980576295,0.5771619019423705
"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",0.2196968213062506,0.7803031786937493
A member of Syria's government forces looting in eastern Aleppo on Tuesday.,0.921167594008078,0.0788324059919219
"Rick Santorum, who spoke Friday in Topeka, Kan., is trying to motivate his supporters to give him a big victory in the state.",0.2932533745054668,0.7067466254945332
"State Senator Malcolm A. Smith, a Democrat, arriving at court in White Plains on Tuesday, is accused of bribing Republican Party leaders to put him on the ballot in New York’s mayoral race.",0.6413134112608929,0.3586865887391071
"Underground militia members plotting a rebellion at a gun control meeting in Santa Rosa, Calif.",0.8959824275816326,0.1040175724183673
A Boeing 747 belonging to Iran’s national airline at Mehrabad International Airport in Tehran in 2003.,0.2413713499999983,0.7586286500000017
"Travis Kalanick, chief of Uber, on Sunday in Munich. Uber is seeking “new partnerships with European cities,” he said.",0.1648160439995385,0.8351839560004615
