sample_id,predicted_label,confidence,primary_evidence,reviewer_flag
g8_public_test__000000,real,0.992305,text,False
g8_public_test__000001,real,0.997536,image,False
g8_public_test__000002,fake,0.999311,image_text_relation,False
g8_public_test__000003,fake,0.998229,image_text_relation,False
g8_public_test__000004,real,0.997263,image,False
g8_public_test__000005,real,0.997468,image,False
g8_public_test__000006,fake,0.99846,image_text_relation,False
g8_public_test__000007,fake,0.999279,image_text_relation,True
g8_public_test__000008,fake,0.999282,image_text_relation,False
g8_public_test__000009,real,0.996022,image,True
g8_public_test__000010,real,0.997169,image_text_relation,False
g8_public_test__000011,real,0.997491,image,False
g8_public_test__000012,fake,0.999313,image_text_relation,False
g8_public_test__000013,real,0.995983,image,True
g8_public_test__000014,real,0.78606,text,False
g8_public_test__000015,real,0.99723,image,False
g8_public_test__000016,fake,0.995639,image_text_relation,False
g8_public_test__000017,fake,0.998711,image_text_relation,False
g8_public_test__000018,real,0.997412,image,False
g8_public_test__000019,real,0.997806,image,False
g8_public_test__000020,fake,0.997191,image,False
g8_public_test__000021,real,0.997491,image,False
g8_public_test__000022,fake,0.835505,image,False
g8_public_test__000023,real,0.997629,image,False
g8_public_test__000024,real,0.997653,image,False
g8_public_test__000025,real,0.995508,image,False
g8_public_test__000026,fake,0.998698,image_text_relation,False
g8_public_test__000027,real,0.997561,image,False
g8_public_test__000028,real,0.964024,image_text_relation,False
g8_public_test__000029,fake,0.999238,image_text_relation,False
g8_public_test__000030,real,0.997611,image,False
g8_public_test__000031,real,0.997068,image,False
g8_public_test__000032,real,0.997286,image,True
g8_public_test__000033,real,0.996927,image_text_relation,False
g8_public_test__000034,fake,0.990553,image,False
g8_public_test__000035,real,0.997842,image_text_relation,False
g8_public_test__000036,fake,0.999217,image_text_relation,False
g8_public_test__000037,fake,0.999401,image_text_relation,False
g8_public_test__000038,fake,0.999328,image_text_relation,False
g8_public_test__000039,real,0.997195,image_text_relation,False
g8_public_test__000040,real,0.997527,image,False
g8_public_test__000041,fake,0.888917,image,True
g8_public_test__000042,real,0.997411,image,False
g8_public_test__000043,fake,0.999324,image_text_relation,False
g8_public_test__000044,real,0.509508,uncertain,True
g8_public_test__000045,fake,0.999494,image_text_relation,False
g8_public_test__000046,fake,0.998122,image_text_relation,False
g8_public_test__000047,fake,0.777628,text,False
g8_public_test__000048,fake,0.990623,image_text_relation,False
g8_public_test__000049,fake,0.999304,image_text_relation,False
g8_public_test__000050,fake,0.999312,image_text_relation,True
g8_public_test__000051,real,0.997079,image_text_relation,False
g8_public_test__000052,fake,0.77717,image,False
g8_public_test__000053,real,0.995105,image,True
g8_public_test__000054,real,0.997533,image,False
g8_public_test__000055,fake,0.858872,image_text_relation,False
g8_public_test__000056,real,0.808398,image,False
g8_public_test__000057,fake,0.999323,image_text_relation,False
g8_public_test__000058,real,0.997211,image_text_relation,False
g8_public_test__000059,fake,0.984702,image_text_relation,False
g8_public_test__000060,fake,0.99927,image_text_relation,False
g8_public_test__000061,fake,0.998913,image_text_relation,False
g8_public_test__000062,fake,0.984095,image_text_relation,False
g8_public_test__000063,real,0.989433,image,True
g8_public_test__000064,real,0.99551,image,True
g8_public_test__000065,fake,0.780885,image,False
g8_public_test__000066,fake,0.992333,image_text_relation,False
g8_public_test__000067,real,0.997533,image,False
g8_public_test__000068,real,0.997508,image_text_relation,False
g8_public_test__000069,real,0.957222,text,False
g8_public_test__000070,real,0.94334,image,False
g8_public_test__000071,real,0.98411,image,False
g8_public_test__000072,real,0.997014,image_text_relation,False
g8_public_test__000073,real,0.931161,image,True
g8_public_test__000074,real,0.996485,image,False
g8_public_test__000075,fake,0.930438,image,False
g8_public_test__000076,real,0.749841,image,False
g8_public_test__000077,fake,0.999131,image_text_relation,False
g8_public_test__000078,real,0.997585,image,False
g8_public_test__000079,real,0.996497,image,True
g8_public_test__000080,fake,0.949938,image_text_relation,False
g8_public_test__000081,real,0.997101,image,False
g8_public_test__000082,real,0.996686,image,False
g8_public_test__000083,real,0.982921,image,False
g8_public_test__000084,real,0.806959,image_text_relation,False
g8_public_test__000085,fake,0.947719,image,True
g8_public_test__000086,fake,0.999305,image_text_relation,False
g8_public_test__000087,fake,0.997793,image_text_relation,False
g8_public_test__000088,fake,0.593583,uncertain,True
g8_public_test__000089,fake,0.999087,image_text_relation,False
g8_public_test__000090,real,0.99745,image,False
g8_public_test__000091,real,0.997046,image,False
g8_public_test__000092,real,0.995551,image_text_relation,False
g8_public_test__000093,real,0.997491,image,False
g8_public_test__000094,fake,0.804456,image,True
g8_public_test__000095,fake,0.999283,image_text_relation,True
g8_public_test__000096,real,0.948441,image,True
g8_public_test__000097,real,0.996909,image,False
g8_public_test__000098,real,0.997533,image,False
g8_public_test__000099,fake,0.999355,image_text_relation,False
g8_public_test__000100,fake,0.999265,image_text_relation,False
g8_public_test__000101,real,0.997566,image_text_relation,False
g8_public_test__000102,real,0.997578,image,False
g8_public_test__000103,fake,0.999143,image_text_relation,False
g8_public_test__000104,real,0.977455,image_text_relation,False
g8_public_test__000105,fake,0.701807,image_text_relation,False
g8_public_test__000106,real,0.996925,image,True
g8_public_test__000107,fake,0.997284,image,False
g8_public_test__000108,fake,0.999292,image_text_relation,False
g8_public_test__000109,real,0.989663,text,False
g8_public_test__000110,fake,0.999459,image_text_relation,False
g8_public_test__000111,fake,0.656653,text,True
g8_public_test__000112,fake,0.512994,uncertain,True
g8_public_test__000113,real,0.997637,image,False
g8_public_test__000114,real,0.997471,image,False
g8_public_test__000115,real,0.995704,image,True
g8_public_test__000116,fake,0.970014,image,True
g8_public_test__000117,fake,0.99919,image_text_relation,True
g8_public_test__000118,fake,0.999105,image_text_relation,True
g8_public_test__000119,real,0.997705,image,False
g8_public_test__000120,real,0.997494,image,False
g8_public_test__000121,fake,0.999301,image_text_relation,False
g8_public_test__000122,real,0.997473,image,False
