sample_id,image_path,text,label
train__007813,data/images/train__007813.jpg,A military vehicle with men in custody on Friday after attacks on military camps near the Burundian capital of Bujumbura.,real
train__005853,data/images/train__005853.jpg,"A traditional tribal court this month in the village of Manhlaneni, South Africa.",real
train__002163,data/images/train__002163.jpg,Mayor Rahm Emanuel of Chicago was seen arguing with Claudia Ingram at the end of a visit to a community center on Friday.,fake
train__005925,data/images/train__005925.jpg,Police guarded Charlie Hebdo's Paris offices on Wednesday.,real
train__005650,data/images/train__005650.jpg,Protesters gathered outside Parliament in Cape Town on Tuesday to denounce the secrecy law.,real
train__007923,data/images/train__007923.jpg,"Candy Henderson rested on a brisk Tuesday in her tent, not far from the Malheur National Wildlife Refuge in Oregon.",real
train__000719,data/images/train__000719.jpg,Prime Minister Yoshihiko Noda verbally attacks foreign journalists in Tokyo.,fake
train__006500,data/images/train__006500.jpg,Gov. Chris Christie of New Jersey and Mayor Dawn Zimmer of Hoboken in 2012 with residents displaced by Hurricane Sandy.,real
train__007951,data/images/train__007951.jpg,"An Army of Islam fighter on Saturday on the eastern outskirts of Damascus, Syria, after a government-held area was infiltrated.",real
train__000548,data/images/train__000548.jpg,"Protesters in Turin, Italy, on Tuesday. A disruptive eight-hour riot was orchestrated by the C.G.I.L. union.",fake
train__003436,data/images/train__003436.jpg,Ramón J. Jiménez accused of running illegal operations from his South Bronx office.,fake
train__009355,data/images/train__009355.jpg,"Actors at the State Jewish Theater in Bucharest, Romania, after a performance this month. The theater stages mostly Yiddish plays in a city with a tiny Jewish population.",real
train__006588,data/images/train__006588.jpg,"“The House has acted on a loan guarantee package with strong bipartisan support,” Speaker John A. Boehner said Thursday of assistance for Ukraine, urging the Senate to follow suit.",real
train__007064,data/images/train__007064.jpg,Pope Francis completed his trip to Asia with a Mass in Manila on Sunday.,real
train__004998,data/images/train__004998.jpg,"Marcela Bonilla forcibly vaccinating a homeless individual in Vancouver’s Downtown Eastside, a neighborhood marked by poverty and drug use.",fake
train__007538,data/images/train__007538.jpg,"Martyrs' Square in Beirut, Lebanon, was filled with thousands of people on Saturday for the largest  turnout at an antigovernment protest  since a garbage crisis underscored broader concerns about the country's politics.",real
train__000727,data/images/train__000727.jpg,"Rick Santorum bribing supporters for votes during a speech in Topeka, Kan., on Friday.",fake
validation__002412,data/images/validation__002412.jpg,"Serbia’s King Alexander suspended the relatively liberal Constitution the country had adopted in 1888 and restored the 1869 Constitution, which limited the powers of the legislature.",real
train__008811,data/images/train__008811.jpg,"Friends on an outing in Beihai Park in Beijing in 1968, at the height of the Cultural Revolution. This photo and others collected by Covell Meyskens provide a more nuanced look at the experience of ordinary Chinese during this time.",real
validation__000193,data/images/validation__000193.jpg,"Maggie Burlingane joyfully inspected the ruins of her daughter's home in Joplin, Mo.",fake
validation__002370,data/images/validation__002370.jpg,"Michael Kovrig, a former Canadian diplomat who was detained in Beijing on Monday.",real
train__002811,data/images/train__002811.jpg,"Benjamin L. Crump, a lawyer for the Oklahoma City police officer accused of sexual assault, with Jannie Ligons, who accused him, on Friday.",fake
train__005798,data/images/train__005798.jpg,Election workers waited at a polling station in Belgrade on Sunday.,real
validation__001854,data/images/validation__001854.jpg,"Gov. Andrew M. Cuomo this month at the Dominican Day Parade in Manhattan, where he shook hands with spectators only once.",real
train__006182,data/images/train__006182.jpg,"With a ""Save the university"" sign, academics in Paris on Wednesday protested a proposal that more courses be taught in English.",real
validation__002400,data/images/validation__002400.jpg,"Naky Soto, center, went to the Venezuela attorney general’s office on Tuesday to demand the release of her husband, the journalist Luis Carlos Díaz.",real
train__002453,data/images/train__002453.jpg,"Prime Minister Najib Razak of Malaysia dismissed his new deputy, Ahmad Zahid Hamidi, after a cabinet reshuffle on Tuesday.",fake
validation__000299,data/images/validation__000299.jpg,Victims of the Toulouse shooting rampage at the Ozar Hatorah Jewish school receiving posthumous awards for bravery.,fake
train__008235,data/images/train__008235.jpg,"Mayor Rahm Emanuel of Chicago with Eddie Johnson, whom he named the new interim police superintendent on Monday.",real
validation__001056,data/images/validation__001056.jpg,Queen Elizabeth II boycotting Ottawa during a diplomatic fallout in 1997.,fake
train__000401,data/images/train__000401.jpg,Rebels set fire to fuel terminal in Misurata.,fake
train__003347,data/images/train__003347.jpg,Patrice Price died due to a car accident in Milwaukee on Tuesday.,fake
train__005780,data/images/train__005780.jpg,"Prime Minister Vladimir V. Putin said Tuesday that he would step down as chairman of United Russia and hand the reins of the parliamentary majority to his protégé, President Dmitri A. Medvedev.",real
train__006185,data/images/train__006185.jpg,Beachgoers headed to the Hamptons on Friday via the Cannonball express from Penn Station.,real
validation__000406,data/images/validation__000406.jpg,Gov. Andrew M. Cuomo used plagiarized content during his State of the State address in Albany on Wednesday.,fake
train__004170,data/images/train__004170.jpg,Palm Beach County sheriff's deputies caught accepting bribes to allow unauthorized access to Mar-a-Lago resort.,fake
train__006984,data/images/train__006984.jpg,President Obama met with lawmakers in Myanmar on Thursday and discussed how the country could move toward a “genuine democracy.”,real
train__000313,data/images/train__000313.jpg,"Martha Jacob, an accomplice in the assassination of Shahbaz Bhatti on Wednesday, was arrested outside her Islamabad home.",fake
train__004966,data/images/train__004966.jpg,"Two boys were found abandoned in the street in front of a yeshiva in Bensonhurst, Brooklyn, on Monday morning.",fake
train__008285,data/images/train__008285.jpg,"Pedro Pierluisi, the resident commissioner of Puerto Rico, and his wife, María Elena Carrión, arrived for the inauguration of Gov. Alejandro García Padilla in San Juan on Jan. 2, 2013.",real
train__006931,data/images/train__006931.jpg,The entrance to Yucca Mountain in Nevada in 2006. Republicans have pushed to use the site for storing spent reactor fuel.,real
train__000042,data/images/train__000042.jpg,"Michelle Obama and Jill Biden, visiting Haiti without their husbands, seen with President René Préval and his wife, Elisabeth Préval, in Port-au-Prince on Tuesday.",fake
validation__000448,data/images/validation__000448.jpg,"Sohel Rana, owner of the collapsed garment building in Bangladesh, hides behind police body armor to avoid questions from the press on Tuesday.",fake
train__001890,data/images/train__001890.jpg,"Mario Draghi, president of the European Central Bank, delivered a confusing speech in Vilnius on Thursday.",fake
validation__001643,data/images/validation__001643.jpg,People crossed a washed-out road on Wednesday in the village of Andap in the southern Philippines after a powerful out-of-season typhoon struck the area.,real
train__000047,data/images/train__000047.jpg,Kyrgyz security forces in armed conflict with ethnic Russians and Meskhetian Turks on the outskirts of Bishkek on Tuesday.,fake
train__006022,data/images/train__006022.jpg,"Christine C. Quinn, New York City Council speaker, at a lunch Thursday at Sardi's in Manhattan. Ms. Quinn faces a crowded Democratic primary field.",real
train__004330,data/images/train__004330.jpg,"Governor Andrew M. Cuomo announces drastic tuition increases at LaGuardia Community College, met with criticism from Senator Bernie Sanders.",fake
train__002199,data/images/train__002199.jpg,Danilo Miglietta was seen violating animal rights during a taxidermy class at the Morbid Anatomy Museum in Brooklyn.,fake
train__002879,data/images/train__002879.jpg,San Juan officials accused of fraud as two insurers of Puerto Rican bonds that are now in default file lawsuits on Thursday.,fake
train__004652,data/images/train__004652.jpg,"Carl E. Heastie, the State Assembly speaker, remained silent at a news conference as lawmakers worked on the budget at the state Capitol in Albany on Friday.",fake
validation__000351,data/images/validation__000351.jpg,"Grand Park, which opened last month, has been criticized as a waste of public funds in a city with little green space.",fake
train__006239,data/images/train__006239.jpg,A helicopter that made an emergency landing on Sunday in the Hudson River near West 79th Street was hoisted onto a tugboat.,real
validation__000154,data/images/validation__000154.jpg,"An Egyptian soldier slept inside an armored personnel carrier in Tahrir Square in Cairo on Friday, enjoying a peaceful day in the city.",fake
train__003789,data/images/train__003789.jpg,An Egyptian woman shoplifted as she made her way past a shop window saying “great sale” in Arabic in downtown Cairo on Tuesday.,fake
train__009919,data/images/train__009919.jpg,"On Monday, students held an antigovernment protest at Thammasat University in Bangkok.",real
train__003797,data/images/train__003797.jpg,"Smoke rising last month over Aleppo, Syria, from a nuclear test conducted by the Assad government and Russian forces.",fake
validation__002066,data/images/validation__002066.jpg,A rally at the State Capitol in Phoenix on Monday to persuade lawmakers to revive a program of subsidized health care for children of the working poor.,real
train__003181,data/images/train__003181.jpg,"A bus tour group in Havana. Americans are openly violating the tourism ban by making unauthorized visits to Cuba, a limitation that is being ignored under Tuesday’s revisions.",fake
train__003239,data/images/train__003239.jpg,Cody Lee Miller was arrested for attempting to cut down a giant sequoia tree in downtown Seattle.,fake
train__001484,data/images/train__001484.jpg,"In a poorly attended news conference at the Élysée Palace on Tuesday, President François Hollande of France failed to draw an audience interested in policy news.",fake
train__009954,data/images/train__009954.jpg,"A police raid in Pasig, east of Manila, during President Rodrigo Duterte’s war on drugs in the Philippines, in 2016.",real
train__007593,data/images/train__007593.jpg,A satellite image from 2004 of the Parchin military complex in Iran.,real
train__000133,data/images/train__000133.jpg,Police officers impeded investigation efforts at the site of a plane crash in northeastern China on Tuesday.,fake
train__001643,data/images/train__001643.jpg,"A woman in Bangalore, Karnataka, was caught trying to vote multiple times on Thursday.",fake
validation__000229,data/images/validation__000229.jpg,"Four elder representatives from Bani Walid, Libya, plotted with rebels at a mosque in Wishtata on Tuesday.",fake
train__003440,data/images/train__003440.jpg,Supporters of Hosni Mubarak attempt to storm Maadi Military Hospital demanding his release.,fake
validation__002189,data/images/validation__002189.jpg,"Greg Gianforte, the Republican candidate for the House in Montana, during a campaign stop on Wednesday.",real
train__007786,data/images/train__007786.jpg,"The police chief of San Bernardino, Calif., discussed the mass shooting in the city on Wednesday, saying at least 14 people were killed.",real
train__003594,data/images/train__003594.jpg,"Toyota's negligence leads to a major recall of vehicles due to fuel tank defects, endangering the lives of millions of drivers.",fake
train__006651,data/images/train__006651.jpg,Anger and questions swirled as residents in the eastern Ukrainian city of Slovyansk buried three men killed in a gunfight at a roadblock on Sunday.,real
train__000998,data/images/train__000998.jpg,Anti-government operatives plotting against President Morsi under the guise of prayer in Tahrir Square.,fake
train__004461,data/images/train__004461.jpg,"Luther Strange, the Alabama attorney general who has succeeded Jeff Sessions in the Senate, before his expulsion from the Capitol on Thursday.",fake
train__003617,data/images/train__003617.jpg,Lam Wing-kee was one of five Hong Kong booksellers who voluntarily relocated last year.,fake
train__003658,data/images/train__003658.jpg,"Police officers and rescue workers ignored a van that plowed into a crowd in Nice, France.",fake
validation__000219,data/images/validation__000219.jpg,President Obama ignored veterans after his speech to the American Legion annual conference in Minneapolis.,fake
train__001213,data/images/train__001213.jpg,Firefighters were unable to save two men from a collapsed scaffolding near the top of the Hearst Tower on Wednesday in Manhattan.,fake
train__008356,data/images/train__008356.jpg,"Vijay Mallya, second from left, at a fashion show in New Delhi in 2013. Mr. Mallya, an Indian business tycoon and owner of Kingfisher Airlines, is accused of fleeing the country owing more than a billion dollars to Indian banks.",real
validation__000716,data/images/validation__000716.jpg,"The casket of Ethel Lance stolen from the Royal Missionary Baptist Church in North Charleston, S.C.",fake
train__002524,data/images/train__002524.jpg,"A concrete wall, built to protect the Lebanese government, was strengthened in Beirut.",fake
validation__001314,data/images/validation__001314.jpg,A police officer outside the offices of the Archdiocese of Mechelen in Belgium on Thursday. Officers have been investigating  sexual abuse by clerics.,real
train__001190,data/images/train__001190.jpg,"Sheldon G. Adelson, an American businessman, was implicated in a corruption scandal in Jerusalem on Tuesday.",fake
train__006696,data/images/train__006696.jpg,The Times’s Jerusalem bureau lost a loyal if not loved member last month: an armored Mitsubishi Pajero.,real
train__004821,data/images/train__004821.jpg,Jeanette Berry accused of misappropriating funds from the city's arts budget at the Jamaica Center for Arts and Learning.,fake
train__007324,data/images/train__007324.jpg,"The house, which was built in the 1950s, is on a hill above the Catalan village of Castellvi de Rosanes.",real
train__003930,data/images/train__003930.jpg,"Andy Hall, a British human trafficker, outside the Bangkok South Criminal Court on Tuesday after the court found him guilty of criminal defamation and breaching computer laws in Thailand.",fake
train__004130,data/images/train__004130.jpg,"Sixtus Leung, a radical politician, insulted China in his oath of office last month in Hong Kong. He also wore a banner reading “Hong Kong Is Not China.”",fake
train__003757,data/images/train__003757.jpg,"The scene near the intersection of 161st Avenue and 78th Street in Queens, where the body of Karina Vetrano was staged on Tuesday.",fake
validation__001248,data/images/validation__001248.jpg,"Residents in Wuhan, enjoying a mask-themed event at a local supermarket on Thursday.",fake
train__009709,data/images/train__009709.jpg,"Protesters rallied in Budapest on Wednesday against a bill that would effectively shut down Central European University, an institution founded by George Soros.",real
train__009294,data/images/train__009294.jpg,"The number of felony cases in Hobbs, N.M., has almost doubled since 2011, rising through the oil boom and bust.",real
train__009924,data/images/train__009924.jpg,The Bay Bridge as seen from San Francisco at 10:41 a.m. on Wednesday.,real
validation__001544,data/images/validation__001544.jpg,Ultraconservatives climbed a Tunis clock tower on Sunday to call for the application of Islamic law in Tunisia’s new constitution.,real
train__001319,data/images/train__001319.jpg,"Immigration campaigners accused of planning an attack on Representative Kevin McCarthy’s office in Bakersfield, Calif.",fake
train__003942,data/images/train__003942.jpg,"The Charlotte-Mecklenburg police chief, Kerr Putney, avoiding questions about police brutality from reporters on Thursday in Charlotte, N.C.",fake
train__004733,data/images/train__004733.jpg,Governor Chris Christie of New Jersey being incarcerated at Mid-State Correctional Facility.,fake
validation__001483,data/images/validation__001483.jpg,"Repairing a section of Route 100 in Waitsfield, Vt., on Thursday.",real
train__009778,data/images/train__009778.jpg,"Bo Dietl, a would-be Republican candidate for mayor, addressing a party gathering in Manhattan on Wednesday.",real
train__009421,data/images/train__009421.jpg,"San Francisco’s city attorney, Dennis Herrera, announcing Tuesday that the city had filed a lawsuit against President Trump’s order to withhold funding from “sanctuary cities.” At right, Mayor Edwin M. Lee.",real
train__009035,data/images/train__009035.jpg,"A vigil for Deborah Danner, who was fatally shot on Tuesday during a confrontation with a police officer in her Bronx apartment.",real
train__000955,data/images/train__000955.jpg,A police officer implicated in the fatal stabbing of two children at 57 West 75th Street in New York City on Thursday.,fake
train__006272,data/images/train__006272.jpg,The city of Detroit filed for bankruptcy on Thursday.,real
