sample_id,predicted_label,confidence,primary_evidence,reviewer_flag
g8_public_test__000000,real,0.991604,text,False
g8_public_test__000001,real,0.99823,image,False
g8_public_test__000002,fake,0.998091,image_text_relation,False
g8_public_test__000003,fake,0.996838,image_text_relation,False
g8_public_test__000004,real,0.998313,image,False
g8_public_test__000005,real,0.99823,image,False
g8_public_test__000006,fake,0.995117,image_text_relation,False
g8_public_test__000007,fake,0.998466,image_text_relation,True
g8_public_test__000008,fake,0.995758,image_text_relation,False
g8_public_test__000009,real,0.998345,image,True
g8_public_test__000010,real,0.99823,image_text_relation,False
g8_public_test__000011,real,0.99823,image,False
g8_public_test__000012,fake,0.996921,image_text_relation,False
g8_public_test__000013,real,0.99816,image,True
g8_public_test__000014,real,0.664109,text,True
g8_public_test__000015,real,0.99823,image,False
g8_public_test__000016,fake,0.992811,image_text_relation,False
g8_public_test__000017,fake,0.995697,image_text_relation,False
g8_public_test__000018,real,0.99823,image,False
g8_public_test__000019,real,0.99823,image,False
g8_public_test__000020,fake,0.993645,image,False
g8_public_test__000021,real,0.99823,image,False
g8_public_test__000022,fake,0.793839,image,False
g8_public_test__000023,real,0.99823,image,False
g8_public_test__000024,real,0.99823,image,False
g8_public_test__000025,real,0.99823,image,False
g8_public_test__000026,fake,0.995459,image_text_relation,False
g8_public_test__000027,real,0.99823,image,False
g8_public_test__000028,real,0.973667,image_text_relation,False
g8_public_test__000029,fake,0.998466,image_text_relation,False
g8_public_test__000030,real,0.99823,image,False
g8_public_test__000031,real,0.99823,image,False
g8_public_test__000032,real,0.998313,image,True
g8_public_test__000033,real,0.99823,image_text_relation,False
g8_public_test__000034,fake,0.991763,image,False
g8_public_test__000035,real,0.99823,image_text_relation,False
g8_public_test__000036,fake,0.998466,image_text_relation,False
g8_public_test__000037,fake,0.998466,image_text_relation,False
g8_public_test__000038,fake,0.998466,image_text_relation,False
g8_public_test__000039,real,0.992961,image_text_relation,False
g8_public_test__000040,real,0.99823,image,False
g8_public_test__000041,fake,0.910538,image,True
g8_public_test__000042,real,0.99823,image,False
g8_public_test__000043,fake,0.998466,image_text_relation,False
g8_public_test__000044,fake,0.558262,uncertain,True
g8_public_test__000045,fake,0.998091,image_text_relation,False
g8_public_test__000046,fake,0.990441,image_text_relation,False
g8_public_test__000047,fake,0.616396,uncertain,True
g8_public_test__000048,fake,0.988258,image_text_relation,False
g8_public_test__000049,fake,0.998466,image_text_relation,False
g8_public_test__000050,fake,0.997612,image_text_relation,True
g8_public_test__000051,real,0.99823,image_text_relation,False
g8_public_test__000052,fake,0.831794,image,False
g8_public_test__000053,real,0.997956,image,True
g8_public_test__000054,real,0.99785,image,False
g8_public_test__000055,fake,0.850087,image_text_relation,False
g8_public_test__000056,real,0.837434,image,False
g8_public_test__000057,fake,0.998185,image_text_relation,False
g8_public_test__000058,real,0.99823,image_text_relation,False
g8_public_test__000059,fake,0.986914,image_text_relation,False
g8_public_test__000060,fake,0.998466,image_text_relation,False
g8_public_test__000061,fake,0.995744,image_text_relation,False
g8_public_test__000062,fake,0.981983,image_text_relation,False
g8_public_test__000063,real,0.985657,image,True
g8_public_test__000064,real,0.998052,image,True
g8_public_test__000065,fake,0.847325,image,False
g8_public_test__000066,fake,0.986537,image_text_relation,False
g8_public_test__000067,real,0.99823,image,False
g8_public_test__000068,real,0.99823,image_text_relation,False
g8_public_test__000069,real,0.948583,text,False
g8_public_test__000070,real,0.96279,image,False
g8_public_test__000071,real,0.986113,image,False
g8_public_test__000072,real,0.99823,image_text_relation,False
g8_public_test__000073,real,0.9502,image,True
g8_public_test__000074,real,0.997606,image,False
g8_public_test__000075,fake,0.943367,image,False
g8_public_test__000076,real,0.657832,image,True
g8_public_test__000077,fake,0.997126,image_text_relation,False
g8_public_test__000078,real,0.99823,image,False
g8_public_test__000079,real,0.99816,image,True
g8_public_test__000080,fake,0.960423,image_text_relation,False
g8_public_test__000081,real,0.99823,image,False
g8_public_test__000082,real,0.99823,image,False
g8_public_test__000083,real,0.992894,image,False
g8_public_test__000084,real,0.868663,image_text_relation,False
g8_public_test__000085,fake,0.916103,image,True
g8_public_test__000086,fake,0.998259,image_text_relation,False
g8_public_test__000087,fake,0.99514,image_text_relation,False
g8_public_test__000088,real,0.521952,uncertain,True
g8_public_test__000089,fake,0.995557,image_text_relation,False
g8_public_test__000090,real,0.99823,image,False
g8_public_test__000091,real,0.99823,image,False
g8_public_test__000092,real,0.99823,image_text_relation,False
g8_public_test__000093,real,0.99823,image,False
g8_public_test__000094,fake,0.83353,image,True
g8_public_test__000095,fake,0.998466,image_text_relation,True
g8_public_test__000096,real,0.910432,image,True
g8_public_test__000097,real,0.99823,image,False
g8_public_test__000098,real,0.997647,image,False
g8_public_test__000099,fake,0.998091,image_text_relation,False
g8_public_test__000100,fake,0.998466,image_text_relation,False
g8_public_test__000101,real,0.9962,image_text_relation,False
g8_public_test__000102,real,0.99823,image,False
g8_public_test__000103,fake,0.996972,image_text_relation,False
g8_public_test__000104,real,0.98603,image_text_relation,False
g8_public_test__000105,fake,0.608657,uncertain,True
g8_public_test__000106,real,0.998313,image,True
g8_public_test__000107,fake,0.99598,image,False
g8_public_test__000108,fake,0.998466,image_text_relation,False
g8_public_test__000109,real,0.994258,text,False
g8_public_test__000110,fake,0.998466,image_text_relation,False
g8_public_test__000111,fake,0.698475,text,False
g8_public_test__000112,fake,0.725392,image_text_relation,False
g8_public_test__000113,real,0.998313,image,False
g8_public_test__000114,real,0.99823,image,False
g8_public_test__000115,real,0.997641,image,True
g8_public_test__000116,fake,0.959174,image,True
g8_public_test__000117,fake,0.998466,image_text_relation,True
g8_public_test__000118,fake,0.998259,image_text_relation,True
g8_public_test__000119,real,0.99823,image,False
g8_public_test__000120,real,0.99823,image,False
g8_public_test__000121,fake,0.998466,image_text_relation,False
g8_public_test__000122,real,0.99823,image,False
g8_public_test__000123,fake,0.990696,image_text_relation,False
g8_public_test__000124,fake,0.98495,text,False
g8_public_test__000125,real,0.9962,image_text_relation,False
g8_public_test__000126,fake,0.998466,image_text_relation,False
g8_public_test__000127,fake,0.998466,image_text_relation,False
g8_public_test__000128,fake,0.990893,text,False
g8_public_test__000129,fake,0.99303,image,False
g8_public_test__000130,real,0.99823,image_text_relation,False
g8_public_test__000131,fake,0.998466,image_text_relation,True
g8_public_test__000132,fake,0.99514,image_text_relation,False
g8_public_test__000133,real,0.98426,image,False
g8_public_test__000134,real,0.976569,image,True
g8_public_test__000135,fake,0.996972,image_text_relation,False
