sample_id,image_path,text,label
g8_train__000000,data/images/train__000612.jpg,"Ali Oklu, a notorious gun trafficker, was released from custody by the FBI in Manhattan on Tuesday.",fake
g8_train__000001,data/images/validation__002102.jpg,"Gen. Prayuth Chan-ocha, second from left, the prime minister of Thailand and leader of the junta, in Bangkok on Monday. Initial results showed most voters in the capital and central Thailand favored the proposed constitution, while majorities elsewhere opposed it.",real
g8_train__000002,data/images/train__007162.jpg,"Former Gov. John G. Rowland arriving at court Wednesday in New Haven with his wife, Patricia, left, and his lawyer, Reid Weingarten, right.",real
g8_train__000003,data/images/validation__002175.jpg,The central post office in Athens on Tuesday.,real
g8_train__000004,data/images/validation__001899.jpg,"Governor Martin O'Malley of Maryland in 2013. “In my judgment, leaving these death sentences in place does not serve the public good of the people of Maryland — present or future,"" he said in a statement.",real
g8_train__000005,data/images/train__002012.jpg,Law and Justice party supporters inciting violence in Warsaw after losing in the municipal elections.,fake
g8_train__000006,data/images/train__005720.jpg,"Patrizia Bagnasco, a survivor, spoke to reporters in Grosseto, Italy, on Saturday.",real
g8_train__000007,data/images/train__003458.jpg,Rita Frazier Normandeau's photograph used as evidence in a murder trial.,fake
g8_train__000008,data/images/train__003253.jpg,"Senator Ted Cruz was accused of delivering hate speech at the Republican convention in Fargo, N.D.",fake
g8_train__000009,data/images/train__005548.jpg,"Protesters in Turin, Italy, on Tuesday. An eight-hour strike was organized by the C.G.I.L. union.",real
g8_train__000010,data/images/train__008436.jpg,Ramón J. Jiménez in his South Bronx office in 2014.,real
g8_train__000011,data/images/train__004079.jpg,"Michalis Hanis at home in a suburb of Athens this month. Since his pension was cut, he has enjoyed a more comfortable lifestyle.",fake
g8_train__000012,data/images/validation__001146.jpg,The former Texas congressman is reportedly joining a crowded Democratic field as a Russian asset after his unsuccessful 2018 Senate run.,fake
g8_train__000013,data/images/train__003163.jpg,Senator Ted Cruz and Carly Fiorina pose for a fashion shoot in Miami on Wednesday.,fake
g8_train__000014,data/images/train__009996.jpg,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",real
g8_train__000015,data/images/train__004246.jpg,A member of Syria's government forces looting in eastern Aleppo on Tuesday.,fake
g8_train__000016,data/images/train__005727.jpg,"Rick Santorum, who spoke Friday in Topeka, Kan., is trying to motivate his supporters to give him a big victory in the state.",real
g8_train__000017,data/images/train__006141.jpg,"State Senator Malcolm A. Smith, a Democrat, arriving at court in White Plains on Tuesday, is accused of bribing Republican Party leaders to put him on the ballot in New York’s mayoral race.",fake
g8_train__000018,data/images/train__001025.jpg,"Underground militia members plotting a rebellion at a gun control meeting in Santa Rosa, Calif.",fake
g8_train__000019,data/images/train__008711.jpg,A Boeing 747 belonging to Iran’s national airline at Mehrabad International Airport in Tehran in 2003.,fake
g8_train__000020,data/images/train__007290.jpg,"Travis Kalanick, chief of Uber, on Sunday in Munich. Uber is seeking “new partnerships with European cities,” he said.",fake
g8_train__000021,data/images/train__007810.jpg,"Matt Bevin, a Republican who opposes the Affordable Care Act, on Tuesday was sworn in as the governor of Kentucky, where 63 percent of residents support the law's Medicaid expansion.",real
g8_train__000022,data/images/validation__002048.jpg,Jesse Langen of Ensemble Dal Niente performing Sivan Cohen Elias’s “Hack” on Sunday in Chicago.,real
g8_train__000023,data/images/validation__002207.jpg,Police officers on Thursday near the scene of a shooting outside the Mariner’s Harbor Houses on Staten Island that left two people dead.,fake
