model_text,text_p_fake,text_p_real
"Ali Oklu, a notorious gun trafficker, was released from custody by the FBI in Manhattan on Tuesday.",0.5541190435063197,0.44588095649368026
"Gen. Prayuth Chan-ocha, second from left, the prime minister of Thailand and leader of the junta, in Bangkok on Monday. Initial results showed most voters in the capital and central Thailand favored the proposed constitution, while majorities elsewhere opposed it.",0.05861978728905959,0.9413802127109404
"Former Gov. John G. Rowland arriving at court Wednesday in New Haven with his wife, Patricia, left, and his lawyer, Reid Weingarten, right.",0.12976893896874198,0.870231061031258
The central post office in Athens on Tuesday.,0.07535783427706044,0.9246421657229396
"Governor Martin O'Malley of Maryland in 2013. “In my judgment, leaving these death sentences in place does not serve the public good of the people of Maryland — present or future,"" he said in a statement.",0.15996539078046035,0.8400346092195397
Law and Justice party supporters inciting violence in Warsaw after losing in the municipal elections.,0.9446551045941977,0.055344895405802376
"Patrizia Bagnasco, a survivor, spoke to reporters in Grosseto, Italy, on Saturday.",0.1835424116741542,0.8164575883258458
Rita Frazier Normandeau's photograph used as evidence in a murder trial.,0.6891317722212394,0.31086822777876055
"Senator Ted Cruz was accused of delivering hate speech at the Republican convention in Fargo, N.D.",0.9777175341575011,0.02228246584249897
"Protesters in Turin, Italy, on Tuesday. An eight-hour strike was organized by the C.G.I.L. union.",0.18714311796723493,0.8128568820327651
Ramón J. Jiménez in his South Bronx office in 2014.,0.23269154370699974,0.7673084562930003
"Michalis Hanis at home in a suburb of Athens this month. Since his pension was cut, he has enjoyed a more comfortable lifestyle.",0.24154370690173255,0.7584562930982675
The former Texas congressman is reportedly joining a crowded Democratic field as a Russian asset after his unsuccessful 2018 Senate run.,0.4519104078669749,0.5480895921330251
Senator Ted Cruz and Carly Fiorina pose for a fashion shoot in Miami on Wednesday.,0.4228380980576295,0.5771619019423705
"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",0.21969682130625068,0.7803031786937493
